Type,Brand,Series,Button,Label,Notes,IR Base64,IR Hex
MUSICPLAYER,Audionote,CDT 2,RANDOM,Random,,JgBgAAABJpUVNBU0FQ8UNhMSExISEhU0ExIUERM2FRAVNBU0FTAZEBU0EjcTEhQ1ExITERM2FDYSExMSEjcUERM2FTQVDxQRFQAFJQABKEcUAAxNAAEoSRIADE4AAShIEwANBQAAAAAAAAAA,260060000001269515341534150f143613121312121215341312141113361510153415341530191015341237131214351312131113361436121313121237141113361534150f1411150005250001284714000c4d0001284912000c4e0001284813000d050000000000000000
MUSICPLAYER,Audionote,CDT 2,REPEAT,Repeal,,JgBgAAABJ5MSOBE4EhITNhQRFBEUERQ1EhITEhM3FBEROBI3EjcSEhM2FRATEhQ1EhQTERQ1FDUUERQ1FDUVEBQ1EjgRExITEgAFJwABJ0oRAAxPAAEoSBIADE8AAShHFQANBQAAAAAAAAAA,260060000001279312381138121213361411141114111435121213121337141111381237123712121336151013121435121413111435143514111435143515101435123811131213120005270001274a11000c4f0001284812000c4f0001284715000d050000000000000000
MUSICPLAYER,Audionote,CDT 2,PLAY,Play,,JgBgAAABKZEVNBU0FRAWNBQRFBAVEBU0FRAUERQ1FQ8WMxU1FDUVEBU0FRAUEBUQFTQVEBQRFDUVEBU0FTQVNBUQFTQVNBUQFAAFJgABKEcVAAxMAAEpRxUADEwAASlGFQANBQAAAAAAAAAA,260060000001299115341534151016341411141015101534151014111435150f16331535143515101534151014101510153415101411143515101534153415341510153415341510140005260001284715000c4c0001294715000c4c0001294615000d050000000000000000
MUSICPLAYER,Audionote,CDT 2,PAUSE,Pause,,JgBgAAABKpEUNRU0FRAUNRUPFg8WDxQ1FBEVEBU0FRAVNBU0FTQVEBQ1FRAVEBUQFDUUEBUQFTQVEBU0FTQVNBUQFDYUNRQQFQAFJAABKkcUAAxNAAEoRxUADEoAASpHFgANBQAAAAAAAAAA,2600600000012a911435153415101435150f160f160f14351411151015341510153415341534151014351510151015101435141015101534151015341534153415101436143514101500052400012a4714000c4d0001284715000c4a00012a4716000d050000000000000000
MUSICPLAYER,Audionote,CDT 2,STOP,Stop,,JgBgAAABKJEVNBU1FRAVNBUQFRAUEBU0FRAWDxQ1FRAVNBU0FTQVEBUQFRAUEBUQFTQVEBQQFjQUNRU0FTQVNBUQFjMVNBURFQAFJAABKEcVAAxMAAEqRxQADEwAASlHFQANBQAAAAAAAAAA,2600600000012891153415351510153415101510141015341510160f1435151015341534153415101510151014101510153415101410163414351534153415341510163315341511150005240001284715000c4c00012a4714000c4c0001294715000d050000000000000000
MUSICPLAYER,Audionote,CDT 2,REVERSE,Rew,,JgBgAAABKJEVNRU0FRAUNRQRFBAVEBYzFRAUEBY0FRAVNBU0FTQVEBQRFBAWDxYPFBAWEBU0FTQVNBU0FTIXNBY0FDUVEBQRFAAFJAABKkcVAAxMAAEoRxUADEwAAShIFQANBQAAAAAAAAAA,2600600000012891153515341510143514111410151016331510141016341510153415341534151014111410160f160f1410161015341534153415341532173416341435151014111400052400012a4715000c4c0001284715000c4c0001284815000d050000000000000000
MUSICPLAYER,Audionote,CDT 2,FORWARD,Ff,,JgBgAAABKo8WNRQ1FBAVNBMSFg8SExI3FRAVEBU0EhMROBQ1FDUVDxYzExIWDxITEhMVEBU0EjcSExI3FTQVNBU1FDUUEBUQFQAFJAABKkcUAAxMAAEpRxUADEwAASdJFAANBQAAAAAAAAAA,2600600000012a8f16351435141015341312160f121312371510151015341213113814351435150f16331312160f12131213151015341237121312371534153415351435141015101500052400012a4714000c4c0001294715000c4c0001274914000d050000000000000000
VOD,Apple,AppleTV 4,MENU,Home,,JgCoAAABJ5IUERU0FDUUNRQSEjcUNRQ1FTQVNBM2FRAVEBUQEhMSNxQ1FDUVDxYPFg8TERYPFhASNxQREhIVEBUQExEVEBUQEwAFlAABJ0gUAAxNAAEnSRMADE0AASpHFAAMTAABKkQWAAxNAAEnSRMADE4AASdJFQAMSwABKkYTAAxOAAEmSBUADE4AASZJEwAMTgABKkUWAAxMAAEqRhMADE4AASZKEgANBQ==,2600a80000012792141115341435143514121237143514351534153413361510151015101213123714351435150f160f160f1311160f161012371411121215101510131115101510130005940001274814000c4d0001274913000c4d00012a4714000c4c00012a4416000c4d0001274913000c4e0001274915000c4b00012a4613000c4e0001264815000c4e0001264913000c4e00012a4516000c4c00012a4613000c4e0001264a12000d05
VOD,Apple,AppleTV 4,EXIT,Exit,,JgBQAAABKZEVEBU0FTQVNBUQFDUVNRQ1FDUUNRU0FQ8WDxYPFg8UNhQ1FDUUEBUQFRAUEBYPFg8WMxUQFBEVEBUQFBAVEBUQFQAFkQABKUcVAA0FAAAAAAAAAAA=,260050000001299115101534153415341510143515351435143514351534150f160f160f160f1436143514351410151015101410160f160f16331510141115101510141015101510150005910001294715000d050000000000000000
VOD,Apple,AppleTV 4,CURSOR UP,,,JgBgAAABKJEVERQ1FTQVNBUQFDUUNRQ2EzYUNRQ1FBEUEBUQFRAUNRQQFTUUERQ1FRAUERQQFRAVNBUQFBAVEBUQFBEUEBUQFQAFkgABKEgUAAxNAAEoRhYADE0AAShIFAANBQAAAAAAAAAA,260060000001289115111435153415341510143514351436133614351435141114101510151014351410153514111435151014111410151015341510141015101510141114101510150005920001284814000c4d0001284616000c4d0001284814000d050000000000000000
VOD,Apple,AppleTV 4,CURSOR DOWN,,,JgBQAAABKZEVEBQ1FDUUNRUQFTQVNBU0FTQVNBU1FBEVEBQQFRAVNBUQFRAUNRQ1FQ8VEBYPFBEVNBUQFRAVEBQQFRAVEBQQFQAFkgABKUYVAA0FAAAAAAAAAAA=,260050000001299115101435143514351510153415341534153415341535141115101410151015341510151014351435150f1510160f141115341510151015101410151015101410150005920001294615000d050000000000000000
VOD,Apple,AppleTV 4,CURSOR LEFT,,,JgBgAAABKZEVEBQ1FTUUNRQQFTQVNBU0FTQVNRU0FRAVEBQRFBAVNBU0FRAVEBQ1FRAVEBUQFBEUNRQQFRAVEBQQFRAVEBQRFAAFkgABKUcVAAxMAAEpRxUADEoAASpHFQANBQAAAAAAAAAA,260060000001299115101435153514351410153415341534153415351534151015101411141015341534151015101435151015101510141114351410151015101410151015101411140005920001294715000c4c0001294715000c4a00012a4715000d050000000000000000
VOD,Apple,AppleTV 4,CURSOR RIGHT,,,JgBgAAABKZEVEBU0FTQVNBUQFjMVNBU1FTQVNBU0FRAUEBYPFg8UNRUQFTQVNBUQFRAVEBQQFRAVNBUQFBAWDxYQFQ8UERUQFQAFkQABKUcVAAxNAAEoRxQADE0AAShIFAANBQAAAAAAAAAA,26006000000129911510153415341534151016331534153515341534153415101410160f160f143515101534153415101510151014101510153415101410160f1610150f14111510150005910001294715000c4d0001284714000c4d0001284814000d050000000000000000
VOD,Apple,AppleTV 4,CURSOR ENTER,Ok,,JgCYAAABKpoTExM3EzcTOBMSEzcTNxM4EzcTNxM4ExITEhMTExITNxMSFBEUNhQ3FDYUERQ2FBIUNhMSFBITEhMSExMTEhMSEwAFSwABKpkUEhM2FDcTNxMSFDcTNxQ2FDcTNxM3ExIUEhMSExITOBM3ExITOBMSExITEhMTExITNxMTExITEhMTEhMTEhMSEwAFSgABKkkTAA0F,2600980000012a9a131313371337133813121337133713381337133713381312131213131312133713121411143614371436141114361412143613121412131213121313131213121300054b00012a99141213361437133713121437133714361437133713371312141213121312133813371312133813121312131213131312133713131312131213131213131213121300054a00012a4913000d05
VOD,Apple,AppleTV 4,BACK,Back,,JgBQAAABKZEVEBU0FTQVNBUQFDUVNRQ1FDUUNRQ1FQ8WDxYPFhATNhQ1FDUUEBUQFRAUEBUQFRAVNBUQFBEVEBUQFBAVEBUQFQAFkQABKUcVAA0FAAAAAAAAAAA=,260050000001299115101534153415341510143515351435143514351435150f160f160f161013361435143514101510151014101510151015341510141115101510141015101510150005910001294715000d050000000000000000
VOD,Apple,AppleTV 4,SKIP SECONDS FORWARD,Ff,,JgBYAAABKJAWNRUQFTQVEBQQFTQVNBYzFTUVNBU0FRAVEBQRFBAVNBU0FTQVERUQFBAVNBUQFRAUNRUQFBAWDxYPFBAWDxYPFAAFkwABKEgVAAxMAAEoRxUADQU=,2600580000012890163515101534151014101534153416331535153415341510151014111410153415341534151115101410153415101510143515101410160f160f1410160f160f140005930001284815000c4c0001284715000d05
VOD,Apple,AppleTV 4,SKIP SECONDS BACKWARD,Rew,,JgBgAAABKJIVNBUQFTQVEBUQFDUVNBU0FDYUNRQ1FBAVEBUQFBEUNRU0FRAVNBUQFRAUNRQQFRAVNBUQFBEUEBYPFg8UERUQFQAFkQABKUQYAAxNAAEoRxUADEcAAS1HFQANBQAAAAAAAAAA,26006000000128921534151015341510151014351534153414361435143514101510151014111435153415101534151015101435141015101534151014111410160f160f14111510150005910001294418000c4d0001284715000c4700012d4715000d050000000000000000
