Type,Brand,Series,Button,Label,Notes,IR Base64,IR Hex
AVRECEIVER,Emotiva,UMC 200,RETURN,Return,,JgBQAAABJpMVEBQRFBEUERITEjcTERMSEzYTNhM2FDUUNhMSEjcUERQOFBMTNhMSFDUTERQRExITNxM2ExIUNRQQEzYUNRQ2EwAFSAABKUoTAA0FAAAAAAAAAAA=,26005000000126931510141114111411121312371311131213361336133614351436131212371411140e141313361312143513111411131213371336131214351410133614351436130005480001294a13000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,DIM,Dim,,JgBQAAABKJEVEBMSExETEhQREzcSEhMSEjcTNhQ1FTQUNRUQFDYUERI3ExETEhI3ExITEhM2ExETEhM2FjQTEhM2EzYTERM2FAAFSwABKEcWAA0FAAAAAAAAAAA=,2600500000012891151013121311131214111337121213121237133614351534143515101436141112371311131212371312131213361311131213361634131213361336131113361400054b0001284716000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,DIRECT,Direct,,JgBQAAABJpQTEhMSFBASExQREzYTEhQQEzYUNhM2EzYTNhMSEzYTEhMRFDUUNhM2ExIVEBITExESNxMSExITERM2FDYTNhM2EwAFSwABJkoTAA0FAAAAAAAAAAA=,2600500000012694131213121410121314111336131214101336143613361336133613121336131213111435143613361312151012131311123713121312131113361436133613361300054b0001264a13000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,BLUETOOTH,Bluetooth,,JgBQAAABKZEVEBITEhISExUQFTQVEBMRFTQVMxc0FTQVNBMSEzYVEBMRFTQVNBYPFhAVEBISExIVNBUQExETNhU0FTQWNBU0FQAFSQABKUcVAA0FAAAAAAAAAAA=,26005000000129911510121312121213151015341510131115341533173415341534131213361510131115341534160f161015101212131215341510131113361534153416341534150005490001294715000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,INPUT HDMI 1,HDMI1,,JgBQAAABJpMWEBITEhMSEhUQEzYUERMREzYVNBU0FDYVNBUQFTQVEBM2EzYTEhMRExIUERMSEhMVEBMSETgTNhM2EzYTNhM3EgAFSwABJkoTAA0FAAAAAAAAAAA=,2600500000012693161012131213121215101336141113111336153415341436153415101534151013361336131213111312141113121213151013121138133613361336133613371200054b0001264a13000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,INPUT HDMI 2,HDMI2,,JgBQAAABJpMWDxMSExITEhMRFjQVEBMRFTQVNBU0FDUUNhUQEzYVEBMSFBAVNBUQFRATERUQFRATNhM3EhMSNxM2EzYTNhM2EwAFSwABKEcWAA0FAAAAAAAAAAA=,2600500000012693160f13121312131213111634151013111534153415341435143615101336151013121410153415101510131115101510133613371213123713361336133613361300054b0001284716000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,INPUT HDMI 3,HDMI3,,JgBQAAABKJEVEBUQExITERMSFDUWDxMSFTQVNBU0FTQVNBYPFTUVEBI3ExITNhMRFRAVEBMRFRAVEBM2ExITNhM3EzYTNhM2EwAFSwABKEcVAA0FAAAAAAAAAAA=,2600500000012891151015101312131113121435160f131215341534153415341534160f1535151012371312133613111510151013111510151013361312133613371336133613361300054b0001284715000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,INPUT HDMI 4,HDMI4,,JgBQAAABKJEVEBUQFRATERYPFjMWEBISFTQVNBU0FTQWMxYPFjQVEBUQExEUNRU0FTQVEBUQExEWNBU0FRAVEBUQEzYTNhM2EwAFSwABKEcWAA0FAAAAAAAAAAA=,26005000000128911510151015101311160f16331610121215341534153415341633160f1634151015101311143515341534151015101311163415341510151015101336133613361300054b0001284716000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,SOURCE NEXT,,,JgBQAAABKZETEhUQFRAUEBUQFTQVEBMSEzYTNhM2EzYTNxQQFTQVEBU0FRATERUQFRATEhMRFg8TEhM3EzYTNhM2EzYTNhM3EgAFSwABKUcVAA0FAAAAAAAAAAA=,260050000001299113121510151014101510153415101312133613361336133613371410153415101534151013111510151013121311160f131213371336133613361336133613371200054b0001294715000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,SOURCE PREV,,,JgBQAAABJpQTERYPFg8TEhUQEzMYEBMSFDUTNhM2EzYTNRQSFTQVEBUQEzYTNhM2EzYTEhUQFRASNxMSExEVEBITEzYTNhM2EwAFSwABKUcVAA0FAAAAAAAAAAA=,26005000000126941311160f160f131215101333181013121435133613361336133514121534151015101336133613361336131215101510123713121311151012131336133613361300054b0001294715000d050000000000000000
